line	kind	requirement	status	valid	issue	evidence
78	requirement	Released-data numeric/statistical summary tables	complete	True		`/mnt/infini-data/test/BeyondMimic/res/tables/released_data_metrics_summary/released_data_metrics_summary.json` summarizes the Level A processed CSVs into 30 tracking-ablation rows, 12 GRF rows, and 10 IMU rows, with 10 source CSV hashes recorded. `/mnt/infini-data/test/BeyondMimic/res/tables/released_data_statistical_audit/released_data_statistical_audit.json` adds 30 ablation effect-size rows, 12 GRF 95% CI rows, 11 IMU 95% CI rows, and IMU paper-claim norm checks. `/mnt/infini-data/test/BeyondMimic/res/level_a/released_data_suite/level_a_released_data_suite.json` executes the unified Level-A released-data/table suite and passes 6/6 steps, covering paper table values, skill-success table parsing, released panel mapping, metrics summary, statistical audit, and paper-vs-reproduction comparison. Outputs also include CSV tables and Markdown summaries. This is released-data reporting, not a new training run.
79	requirement	IMU orientation	complete	True		Fig. 3B mapping in `/mnt/infini-data/test/BeyondMimic/reproduction/docs/paper_panel_map.tsv`; output under `/mnt/infini-data/test/BeyondMimic/res/released_figures/imu_orientation_accel_angular_velocity`
80	requirement	IMU acceleration	complete	True		Same as above
81	requirement	IMU angular velocity	complete	True		Same as above
82	requirement	Local tracking error	complete	True		Ablation local outputs under `/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_*/*_local.pdf`
83	requirement	Global tracking error	complete	True		Ablation global outputs under `/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_*/*_global.pdf`
84	requirement	Orientation representation ablation	complete	True		`/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_orientation_representation`
85	requirement	Observation history ablation	complete	True		`/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_observation_history`
86	requirement	Armature ablation	complete	True		`/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_armature`
87	requirement	Latency ablation	complete	True		`/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_latency`
88	requirement	PD gain ablation	complete	True		`/mnt/infini-data/test/BeyondMimic/res/released_figures/ablation_pd_gain`
89	requirement	Adaptive sampling failure map	complete	True		`/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling` and converted CSVs under `adaptive_sampling_converted`
90	requirement	Adaptive sampling probability evolution	complete	True		`/mnt/infini-data/test/BeyondMimic/res/released_figures/adaptive_sampling/adaptive_sampling_probability_evolution_heatmap.pdf`
91	requirement	Walking/running GRF	complete	True		`/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_walk_*`; `/mnt/infini-data/test/BeyondMimic/res/released_figures/grf_run_*`
92	requirement	Paper panel mapping	complete	True		Complete for Level A released-data scope: `/mnt/infini-data/test/BeyondMimic/reproduction/docs/paper_panel_map.tsv`
96	header	Requirement	Status	True		Evidence
98	requirement	Official `whole_body_tracking` source prepared	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/whole_body_tracking`
99	requirement	Unitree G1 assets present	complete	True		Non-Kit smoke and tracking audit; `/mnt/infini-data/test/BeyondMimic/res/tracking/smoke_config_audit/tracking_config_audit.json`. `/mnt/infini-data/test/BeyondMimic/res/tracking/g1_urdf_source_equivalence_audit/tracking_g1_urdf_source_equivalence_audit.json` compares the downloaded official LAFAN G1 URDF, the reproduction-data copy, and the official `whole_body_tracking` G1 URDF: the downloaded and reproduction-data URDF files are byte-identical, while `whole_body_tracking` preserves the same 29 non-fixed/action joints but differs in support links/joints and physical bookkeeping.
100	requirement	Retargeted LAFAN1 present/readable	complete	True		Tracking audit sample CSV evidence
101	requirement	Motion preprocessing `csv_to_npz.py`	partial	True		Local non-WandB scripts prepared and producer/consumer contract audited: `/mnt/infini-data/test/BeyondMimic/reproduction/scripts/run_tracking_local_smoke.sh`; `/mnt/infini-data/test/BeyondMimic/res/tracking/motion_preprocessing_contract_audit/motion_preprocessing_contract_audit.json` verifies 40 G1 CSV files, 36-column input layout, 29 joints, required `motion.npz` keys, validator wiring, local runner shell syntax, executable bit, generated manifest, and generated `csv_to_npz_local.py`/`replay_npz_local.py`/`train_local.py` script presence. `/mnt/infini-data/test/BeyondMimic/res/tracking/g1_resource_adjusted_csv_conversion/tracking_g1_resource_adjusted_csv_conversion_audit.json` converts official downloaded G1 LAFAN `walk1_subject1.csv` frame range 1-180 into a 299-frame `motion.npz` through the official interpolation/logging schema and generated enriched USD. `/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_with_enriched_usd/tracking_official_csv_to_npz_loop_with_enriched_usd_audit.json` executes the official `csv_to_npz.py` loop body to the 299-step bound for a single motion while redirecting `/tmp/motion.npz` to project results and replacing wandb with a local fake registry. `/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_enriched_usd/tracking_official_csv_to_npz_loop_full_dataset_with_enriched_usd_audit.json` extends that official-loop body coverage to all 40 local G1 LAFAN CSV motions. `/mnt/infini-data/test/BeyondMimic/res/tracking/official_csv_to_npz_loop_full_dataset_with_official_importer_export/tracking_official_csv_to_npz_loop_full_dataset_with_official_importer_export_audit.json` now repeats the full 40-motion official loop using the captured G1 USDA exported by the official Isaac Sim URDF importer instead of the generated enriched scaffold: `40/40` rows pass, `11960` total frames and `346840` joint values are produced, every row has joint shape `[299, 29]` and body shape `[299, 40, 3]`, and there are `0` failed rows. This is stronger full public-motion preprocessing evidence on the official-importer-export asset path, but it still uses a captured local importer export rather than live unmodified converter-entry success; it is not policy replay/evaluation or paper-level tracking.
102	requirement	Unified Level-B non-Kit tracking suite	complete	True		`/mnt/infini-data/test/BeyondMimic/res/tracking/nonkit_suite/level_b_tracking_nonkit_suite.json` reruns 13 non-Kit tracking evidence gates and passes `13/13`: official source contract, G1 action-scale, reward formula, observation/action schema, randomization/termination, motion preprocessing contract, debug `motion.npz` fixture build, local preflight, adaptive sampling discrepancy, ONNX export contract, debug motion-policy ONNX export, debug motion-policy ONNX reference inference, and MuJoCo/ROS launch contract. This is a reproducibility suite for static/schema/fixture evidence; it does not launch Kit, run PPO rollout, export a trained policy, or execute ROS/hardware.
103	requirement	Reference replay `replay_npz.py`	partial	True		Official replay remains partial because the unmodified live official converter-entry path has not produced a paper-usable official converter-output `motion.npz`/robot artifact. `/mnt/infini-data/test/BeyondMimic/res/tracking/g1_urdf_source_equivalence_audit/tracking_g1_urdf_source_equivalence_audit.json` narrows the asset-source boundary: the downloaded official G1 URDF and reproduction-data copy are identical, and the official `whole_body_tracking` URDF keeps the same 29 action joints, but support-link differences must be documented. `/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_entry_diagnostic/tracking_official_replay_npz_entry_diagnostic_audit.json` runs the official `replay_npz.py` entry with a local fake-WandB artifact and shows it reaches AppLauncher but blocks in the official URDF converter layer-save path before artifact download or replay-loop execution. `/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_enriched_usd/tracking_official_replay_npz_loop_full_dataset_with_enriched_usd_audit.json` extends replay-loop coverage to all 40 enriched-USD official-loop NPZ motions. `/mnt/infini-data/test/BeyondMimic/res/tracking/official_replay_npz_loop_full_dataset_with_official_importer_export/tracking_official_replay_npz_loop_full_dataset_with_official_importer_export_audit.json` repeats the full replay loop on the captured official-importer-export G1 USDA: `40/40` rows pass, `11960` total replay steps are reached, there are `0` failed rows and `0` shutdown warnings, and every row reaches the 299-step official loop bound. `/mnt/infini-data/test/BeyondMimic/res/report_assets/official_importer_export_replay_full_dataset/official_importer_export_replay_full_dataset_report_assets.json` now turns that all-motion replay audit into report/PPT assets: row/family/summary CSVs, completion-by-family and duration-by-motion PNGs, and a link to the representative local reference replay MP4. This is stronger than the copied local replay script, the single-motion gate, and the generated enriched-scaffold path, but still bypasses the live unmodified converter entry and is not trained-policy evaluation, PPO, DAgger, Fig. 5/Fig. 6, or paper-level replay/evaluation.
104	requirement	PPO motion tracking training smoke	blocked	True		Local one-iteration script is prepared, and the resource-adjusted official task manager stack now runs full local debug fixtures, but no PPO training endpoint, checkpoint, policy export, or evaluation has been executed.
105	requirement	Adaptive sampling in official code	partial	True		Code and paper/source audited with probe evidence under `/mnt/infini-data/test/BeyondMimic/res/tracking/adaptive_sampling_probe` and machine-readable discrepancy audit `/mnt/infini-data/test/BeyondMimic/res/tracking/adaptive_sampling_discrepancy_audit/adaptive_sampling_discrepancy_audit.json`; paper look-back `u in {0,1,2}` vs official-code default `adaptive_kernel_size=1` changes the single-failure-bin distribution (`l1_difference=1.0730253353204173`, pre-failure mass `0.02272727272727273 -> 0.5592399403874814`), and no local official-tree runtime override to kernel size 3 has been found. The discrepancy remains unresolved.
106	requirement	Simulation evaluation / rollout	partial	True		Resource-adjusted IsaacLab task-contract evaluation now executes three full local debug fixtures through `Tracking-Flat-G1-v0` for `897` total steps and verifies action/observation/reward/termination dimensions. `/mnt/infini-data/test/BeyondMimic/res/tracking/g1_resource_adjusted_csv_task_eval/tracking_g1_resource_adjusted_csv_task_eval_audit.json` additionally feeds the official-CSV-derived resource-adjusted motion into the same task stack for all `299` steps, verifying action dim `29`, policy obs dim `160`, critic obs dim `286`, nine reward terms, four termination terms, `29` robot joints, and `40` robot bodies. `/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_csv_loop_full_dataset_task_eval/tracking_g1_official_csv_loop_full_dataset_task_eval.json` now extends the task diagnostic to all `40` official csv-loop NPZ motions: `40/40` rows pass, all reach `299` steps, total task steps are `11960`, reward mean across motions is `0.024103513569571078`, and mean anchor/body/joint errors are `0.12021495481021702`, `0.11473371332976967`, and `1.4624223172664643`. It also verifies action dim `29`, policy obs dim `160`, critic obs dim `286`, nine reward terms, four termination terms, and the `29`-joint/`40`-body G1 contract for every motion. `/mnt/infini-data/test/BeyondMimic/res/tracking/g1_resource_adjusted_train_entry_diagnostic/tracking_g1_resource_adjusted_train_entry_diagnostic_audit.json` verifies that RSL-RL train-entry wiring can complete one bounded PPO update, but it is not a trained policy or paper-level rollout. Official closed-loop replay/evaluation remains incomplete because the current gates use generated resource-adjusted USD and diagnostic actions/training bounds.
107	requirement	Official csv-loop PPO checkpoint multi-seed eval	partial	True		`/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_csv_loop_ppo_checkpoint_multiseed_eval/tracking_g1_official_csv_loop_ppo_checkpoint_multiseed_eval.json` repeats the full local official-csv-loop checkpoint evaluator for seeds `20260640`, `20260641`, and `20260642` on GPUs `4/7/4`, with `512` environments and `299` steps per seed (`459264` total env steps). It records aggregate reward mean `0.025978426701298924 +/- 0.00010146760409522878`, body-position error mean `0.18423418407697012 +/- 0.000271408645496586`, and joint-position error mean `1.2231450603159773 +/- 0.0027425904840304373`, with report assets under `/mnt/infini-data/test/BeyondMimic/res/report_assets/official_csv_loop_ppo_checkpoint_multiseed_eval/`. This is local virtual stability evidence for the reduced iteration-299 checkpoint under the enriched-USD runtime patch; it is not unpatched official paper-level tracking teacher evaluation, not DAgger, not Fig. 5/Fig. 6, and not real robot evidence.
108	requirement	Official-importer-export scaled PPO training/eval	partial	True		`/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_training_run/tracking_g1_official_importer_export_full_bundle_scaled_ppo_training_run.json` now records the larger rerun on the official-importer-export G1 USDA and 40-motion public bundle: GPUs `4/7`, world size `2`, `4096` envs/rank, `8192` total envs, `24` steps/env, `1000` iterations, `21` local checkpoints, rank0 iteration `999`, `196608000` rank0/global timesteps, and `3242.741` seconds wall time. `/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval/tracking_g1_official_importer_export_full_bundle_scaled_ppo_checkpoint_eval.json` evaluates the iteration-999 checkpoint for `2048` envs x `299` steps (`612352` env steps), with reward mean `0.02423080788881683`, done count total `611642`, and anchor/body/joint position error means `0.05960297264333154`, `0.6893615395727763`, and `0.8996927592666651`. Report assets are under `/mnt/infini-data/test/BeyondMimic/res/report_assets/official_importer_export_full_bundle_scaled_ppo_checkpoint_eval/`. Peak training memory was `7771/7767` MiB on GPUs 4/7, still below the requested 10GB/card threshold, and the high termination count means this remains local virtual training evidence rather than an official paper-level tracking teacher.
109	requirement	Official-importer-export scaled PPO policy rollout video	partial	True		`/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_scaled_ppo_policy_rollout/tracking_g1_official_importer_export_full_bundle_scaled_ppo_policy_rollout_capture.json` and `/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_scaled_ppo_policy_rollout/official_importer_export_full_bundle_scaled_ppo_policy_rollout_video_asset.json` record a 299-frame single-environment policy-vs-reference visualization from the current iteration-999 scaled PPO checkpoint on the official-importer-export G1 USDA and full 40-motion public bundle. The local asset reports reward mean `0.024693377315998077`, done count total `299`, action absolute mean `0.031626854091882706`, and target-body error mean/max `0.3432866036891937` / `0.3649991452693939`; local MP4/keyframe/metrics assets live under `/mnt/infini-data/test/BeyondMimic/res/visualization/official_importer_export_full_bundle_scaled_ppo_policy_rollout/`. This is report/PPT media and qualitative local virtual tracking evidence only: not an official BeyondMimic teacher checkpoint, not a paper metric, not Fig.5/Fig.6 guided diffusion, not TensorRT deployment, and not real robot evidence.
110	requirement	Official-importer-export scaled PPO teacher rollout dataset	partial	True		`/mnt/infini-data/test/BeyondMimic/res/tracking/g1_official_importer_export_full_bundle_scaled_ppo_teacher_rollout_dataset/tracking_g1_official_importer_export_full_bundle_scaled_ppo_teacher_rollout_dataset.json` collects two local virtual teacher-rollout shards from the iteration-999 scaled PPO checkpoint on the official-importer-export G1 USDA and 40-motion public bundle. The run used GPUs `4/7`, world size `2`, `2048` envs/rank, `4096` total envs, `299` rollout steps, and seed `20260700`; it produced `1224704` virtual env steps, `2` shards, `1919836221` bytes of ignored raw `.npz` data, loaded iteration `999` on both ranks, and recorded reward means `[0.024104224517941475, 0.02374308556318283]` with done count total `1223466`. Report assets under `/mnt/infini-data/test/BeyondMimic/res/report_assets/official_importer_export_full_bundle_scaled_ppo_teacher_rollout_dataset/` include reward/done, action-distribution, motion-step-coverage plots and CSV summaries. Peak rollout memory was only `4847/4839` MiB on GPUs 4/7, so this is not a formal high-memory GPU experiment. It is the strongest current local teacher-data candidate for future VAE/state-latent updates, but it remains local virtual data, not official DAgger logs, not paper Fig.5/Fig.6 guidance, and not real robot evidence.
111	requirement	ONNX export path	partial	True		Export contract audited from official code; `/mnt/infini-data/test/BeyondMimic/res/tracking/onnx_export_contract_audit/tracking_onnx_export_contract_audit.json` cross-checks official exporter inputs/outputs/metadata against the C++ consumer, confirms `time_step` clamping and motion reference outputs, and rejects the Unitree reference ONNX as not satisfying the motion contract. `/mnt/infini-data/test/BeyondMimic/res/tracking/debug_motion_policy_onnx_export/tracking_debug_motion_policy_onnx_export.json` exports a real debug `.onnx` at `/mnt/infini-data/test/BeyondMimic/res/tracking/debug_motion_policy_onnx_export/debug_motion_policy_contract.onnx`, runs `onnx.checker`, and verifies the `obs/time_step` inputs, 7 outputs, and metadata contract. `/mnt/infini-data/test/BeyondMimic/res/tracking/debug_motion_policy_onnx_inference/tracking_debug_motion_policy_onnx_inference_audit.json` additionally loads that graph with `onnx.reference.ReferenceEvaluator` and verifies all 7 numeric outputs against the contract fixture with max abs error `0.0`. No trained BeyondMimic ONNX has been exported yet.
112	requirement	Motion-policy ONNX contract fixture	partial	True		`/mnt/infini-data/test/BeyondMimic/res/tracking/motion_policy_onnx_contract_fixture/tracking_motion_policy_onnx_contract_fixture.json` materializes the official exporter/C++ consumer contract as debug JSON/TSV/NPZ: inputs `obs/time_step`, 7 required outputs, 11 metadata fields, observation dimension `160`, action/joint dimension `29`, target body count `14`, unit body quaternions, and G1 action-scale metadata from the official action-scale audit. The NPZ is `/mnt/infini-data/test/BeyondMimic/res/tracking/motion_policy_onnx_contract_fixture/debug_motion_policy_onnx_contract_fixture.npz`, the matching real debug ONNX is `/mnt/infini-data/test/BeyondMimic/res/tracking/debug_motion_policy_onnx_export/debug_motion_policy_contract.onnx`, and the reference inference audit is `/mnt/infini-data/test/BeyondMimic/res/tracking/debug_motion_policy_onnx_inference/tracking_debug_motion_policy_onnx_inference_audit.json`. This is an interface/export/inference fixture, not a trained BeyondMimic ONNX policy, ONNX Runtime/TensorRT deployment, ROS execution, rollout, or paper metric.
113	requirement	MuJoCo sim-to-sim controller	partial	True		C++ controller and launch/package/config contracts are statically audited. `/mnt/infini-data/test/BeyondMimic/res/tracking/mujoco_ros_launch_contract_audit/mujoco_ros_launch_contract_audit.json` verifies README Jazzy instructions, package dependencies, pluginlib declaration, 500 Hz manager / 50 Hz walking controller rates, 29-joint standby impedance arrays, MuJoCo launch args/sim node/plugin/policy resolution, real launch network-interface/rosbag MCAP wiring, and records this host's missing ROS 2/colcon/rosdep on Ubuntu 20.04. ROS 2 Jazzy/Noble environment is still missing.
114	requirement	Real robot deployment	out_of_scope	True		No Unitree G1 hardware; real robot commands must not be run
118	header	Requirement	Status	True		Evidence
120	requirement	Official `motion_tracking_controller` copied	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/third_party/official/motion_tracking_controller`
121	requirement	C++/ROS package static audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/tracking/motion_tracking_controller_audit/motion_tracking_controller_audit.json`
122	requirement	Deployment controller semantics audit	complete	True		`/mnt/infini-data/test/BeyondMimic/res/tracking/deployment_controller_semantics_audit/tracking_deployment_controller_semantics_audit.json` verifies 18 source-level checks over 14 official deployment files: package/plugin identity, core controller dependencies, Unitree/robot_state_publisher launch references, 500 Hz manager and 50 Hz walking rates, 29-joint standby arrays, sim launch starting `walking_controller`, real launch starting `standby_controller`, policy path/W&B/start-step wiring, ONNX `time_step` and reference-output metadata contract, motion command/observation aliases, yaw-anchor local-frame alignment, dynamic observation dimensions, real-robot risk disclaimer, remote switch documentation, and the current host's missing ROS 2 Jazzy/Noble runtime. This is static deployment semantics evidence, not MuJoCo launch execution, trained ONNX behavior, TensorRT diffusion deployment, rosbag evidence, or real G1 control.
123	requirement	ONNX export/consumer contract audited	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/docs/deployment_controller_audit.md`; `/mnt/infini-data/test/BeyondMimic/res/tracking/onnx_export_contract_audit/tracking_onnx_export_contract_audit.json`
124	requirement	Reference Unitree ONNX checked	complete	True		`/mnt/infini-data/test/BeyondMimic/res/tracking/motion_tracking_controller_audit/unitree_g1_policy_onnx_contract.json`; it does not satisfy the BeyondMimic motion contract
125	requirement	MuJoCo launch execution	blocked	True		Requires ROS 2 Jazzy/Noble stack; launch contract is audited at `/mnt/infini-data/test/BeyondMimic/res/tracking/mujoco_ros_launch_contract_audit/mujoco_ros_launch_contract_audit.json`, but no `ros2 launch motion_tracking_controller mujoco.launch.py ...` command was executed on this Ubuntu 20.04 host.
129	header	Requirement	Status	True		Evidence
131	requirement	Paper VAE/diffusion parameters extracted	complete	True		`/mnt/infini-data/test/BeyondMimic/reproduction/docs/paper_parameter_map.md`; `/mnt/infini-data/test/BeyondMimic/reproduction/docs/level_c_diffusion_plan.md`
132	requirement	Official BeyondMimic VAE/diffusion code found	complete	True		Current artifact audit proves the local official inventory does not contain official BeyondMimic-specific VAE/diffusion code: `0` official code candidates and `0` official checkpoint/TensorRT/engine candidates; reference diffusion code is present but not official BeyondMimic implementation; `/mnt/infini-data/test/BeyondMimic/res/level_c/official_artifact_audit/level_c_official_artifact_audit.json`
133	requirement	Teacher rollout/state-latent dataset	partial	True		Debug-only retargeted-motion state fixtures now exist for walk/run/jump clips; window provenance/split leakage gates exist; dataset collection protocol audit indexes paper OU/noise/2.5s/5s/rejection/100x-coverage requirements and explicitly records missing true VAE rollout data. The rollout rejection manifest probe instantiates debug-only `2.5 s` recorded windows, `5 s` stability windows, 100 OU seeds per valid start, and accept/reject fields over 3 local fixtures, producing `15000` manifest rows. `/mnt/infini-data/test/BeyondMimic/res/level_c/state_latent_schema_audit/state_latent_schema_audit.json` validates all `84` paper-state windows through the package state-latent API as `[21,131]` tokens with split counts `28/28/28`, while marking all latents as `synthetic_zero_placeholder_for_schema_only`; `/mnt/infini-data/test/BeyondMimic/res/level_c/vae_debug_overfit_latent_artifact/level_c_vae_debug_overfit_latent_artifact.json` additionally exports nonzero 32-D debug latents for all `84` paper-state windows using a tiny CPU VAE overfit gate, with reconstruction MSE `0.08905366063117981 -> 0.000199218382476829` and split counts `28/28/28`; `/mnt/infini-data/test/BeyondMimic/res/level_c/vae_motion_split_heldout_eval/level_c_vae_motion_split_heldout_eval.json` trains the tiny conditional VAE only on the train motion split and reports held-out validation/test action MSE reductions `0.955827922139106` and `0.9204363722178501`; `/mnt/infini-data/test/BeyondMimic/res/level_c/dagger_schema_audit/dagger_schema_audit.json` validates `30` synthetic teacher-query samples through the package DAgger API with 163-D teacher input state, 29-D actions, split counts `20/5/5`, finite discrepancy metrics, and `is_true_dagger_rollout=false`; `/mnt/infini-data/test/BeyondMimic/res/level_c/dagger_iteration_smoke/level_c_dagger_iteration_smoke.json` runs a 3-iteration synthetic DAgger loop with teacher queries `96 -> 192 -> 288`, aggregate samples `96 -> 192 -> 288`, and held-out action MSE `0.3170884047315886 -> 6.111142407404412e-12`; `/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/walk1_subject1_frames_1_180_state_fixture.npz`; `/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/run2_subject1_frames_1_180_state_fixture.npz`; `/mnt/infini-data/test/BeyondMimic/reproduction/data/level_c_fixtures/jumps1_subject1_frames_1_180_state_fixture.npz`; `/mnt/infini-data/test/BeyondMimic/res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json`; `/mnt/infini-data/test/BeyondMimic/res/level_c/rollout_rejection_manifest_probe/level_c_rollout_rejection_manifest_probe.json`; `/mnt/infini-data/test/BeyondMimic/res/level_c/fixture_split_manifest/fixture_split_manifest_summary.json`; `/mnt/infini-data/test/BeyondMimic/res/level_c/vae_accumulation_probe/level_c_vae_accumulation_probe.json`; teacher rollout, true VAE rollout latents, true DAgger aggregation in Isaac, live acceptance/rejection, and paper-exact train/validation/test splits are still missing
134	requirement	Small-dataset provenance/split manifest	partial	True		`/mnt/infini-data/test/BeyondMimic/res/level_c/small_dataset_split_manifest/small_dataset_split_manifest_summary.json` records `84` windows from `3` debug fixture motions with motion-level train/validation/test splits `28/28/28`, no motion crossing splits, missing VAE latents explicitly marked, and live stability accept/reject marked debug-only. `/mnt/infini-data/test/BeyondMimic/res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json` records `8` missing paper dataset-collection requirements. This is not the paper-exact rollout split or trainable state-latent dataset.
135	requirement	Rollout rejection manifest probe	partial	True		`/mnt/infini-data/test/BeyondMimic/res/level_c/rollout_rejection_manifest_probe/level_c_rollout_rejection_manifest_probe.json` creates a debug-only OU rollout-window manifest from 3 local motion fixtures: `15000` rows, `150` valid 5-second starts, 100 synthetic OU seeds per valid start, 2.5-second recorded windows (`125` frames at 50 Hz), 5-second stability windows (`250` frames at 50 Hz), nonzero recorded coverage minimum `100`, and accept/reject fields marked `accepted_debug_fixture_no_live_failure_signal`. It does not run a trained VAE policy, record true latents, or make real rejection decisions.
136	requirement	VAE smoke implementation	partial	True		Synthetic-only forward/backward smoke passes with paper VAE hidden dimensions and latent/KL settings; VAE accumulation probe executes paper gradient accumulation `15` with one optimizer step; `/mnt/infini-data/test/BeyondMimic/res/level_c/vae_checkpoint_smoke/level_c_vae_checkpoint_smoke.json` writes a debug-only conditional VAE checkpoint, restores model/optimizer state, and verifies loaded eval action max error `0.0` while marking it as not a trained paper checkpoint; `/mnt/infini-data/test/BeyondMimic/res/level_c/vae_debug_overfit_latent_artifact/level_c_vae_debug_overfit_latent_artifact.json` runs a tiny CPU VAE overfit gate on paper-state windows and exports nonzero 32-D debug latents (`1764` tokens, latent abs mean `0.1456600978669161`); `/mnt/infini-data/test/BeyondMimic/res/level_c/vae_motion_split_heldout_eval/level_c_vae_motion_split_heldout_eval.json` adds motion-split held-out VAE training evidence with validation/test action MSE `0.10267462700281195 -> 0.004535351618306475` and `0.1096794881829601 -> 0.008726497973125745`; `/mnt/infini-data/test/BeyondMimic/res/level_c/vae_receding_horizon_rollout_smoke/level_c_vae_receding_horizon_rollout_smoke.json` rolls the current-action index over all `84` tiny-VAE debug state-latent windows with current-action MSE mean/max `0.0001923113866260608/0.0008571597683028913`; `/mnt/infini-data/test/BeyondMimic/res/level_c/diffusion_to_vae_action_smoke/level_c_diffusion_to_vae_action_smoke.json` connects held-out diffusion predicted tokens to a train-split surrogate action decoder with validation/test current-action MSE `0.00911132119759807/0.0039371201747736865`; `/mnt/infini-data/test/BeyondMimic/res/level_c/diffusion_to_vae_action_multiseed_audit/level_c_diffusion_to_vae_action_multiseed_audit.json` repeats this downstream action pipe over 3 seeds with validation/test current-action MSE mean/std `0.009255110754950491/0.0008873826936215285` and `0.003998468510847306/0.00032580665084176963`; `/mnt/infini-data/test/BeyondMimic/res/level_c/diffusion_to_vae_action_smoothness_audit/level_c_diffusion_to_vae_action_smoothness_audit.json` adds 25 Hz downstream action-sequence smoothness with validation/test predicted penalties `0.038083277980476095/0.01579856790234264` and noisy-baseline reductions `0.8984023373821292/0.9548695448720198`; VAE latent probe checks reparameterization, KL formula, and latent interpolation over 3 seeds with KL mean/std `0.16656828920046488/0.01607387453652661`, mean latent std `1.0006367762883503`, and reparameterization max error `0.0`; receding-horizon decoder probe decodes current denoised latent index `4` to one 29-D action on CPU at 25 Hz schema; `/mnt/infini-data/test/BeyondMimic/res/level_c/synthetic_smoke/level_c_synthetic_smoke.json`; `/mnt/infini-data/test/BeyondMimic/res/level_c/vae_accumulation_probe/level_c_vae_accumulation_probe.json`; `/mnt/infini-data/test/BeyondMimic/res/level_c/vae_latent_probe/level_c_vae_latent_probe.json`; `/mnt/infini-data/test/BeyondMimic/res/level_c/receding_horizon_decoder_probe/level_c_receding_horizon_decoder_probe.json`; true DAgger rollout/trained checkpoint/stability evaluation still missing
137	requirement	Single-batch diffusion overfit gate	partial	True		`/mnt/infini-data/test/BeyondMimic/res/level_c/single_batch_overfit_probe/level_c_single_batch_overfit_probe.json` fits a tiny NumPy ridge clean-trajectory denoising map on one debug fixture batch with independent state/latent steps; noisy-identity loss `0.06463638649755082` falls to `4.557876969502246e-16`. This proves the local loss/data path can overfit a single batch, not full diffusion training.
138	requirement	Single-motion diffusion overfit gate	partial	True		`/mnt/infini-data/test/BeyondMimic/res/level_c/single_motion_overfit_probe/level_c_single_motion_overfit_probe.json` fits all `28` windows from the debug fixture motion with an overparameterized memorization basis; noisy baseline loss `0.06594478121987789` falls to `7.383799715088834e-19`. This proves single-motion memorization of the local clean-trajectory target, not multi-motion small-dataset training or generalization.
139	requirement	Small-dataset diffusion overfit gate	partial	True		`/mnt/infini-data/test/BeyondMimic/res/level_c/small_dataset_overfit_probe/level_c_small_dataset_overfit_probe.json` fits `84` windows from `3` debug fixture motions with an overparameterized memorization basis; small-dataset noisy baseline loss `0.06878844770150597` falls to `1.1634015638380633e-18`. This proves small multi-motion memorization of the local clean-trajectory target, not full diffusion training, held-out validation, or paper results.
140	requirement	Small-dataset multi-seed statistics	partial	True		`/mnt/infini-data/test/BeyondMimic/res/level_c/small_dataset_multiseed_audit/level_c_small_dataset_multiseed_audit.json` runs the debug small-dataset memorization gate over 3 seeds and reports mean/std/min/max; final overfit loss mean `1.1825253467675343e-18`, std `1.6954088866134628e-20`, and loss reduction ratio mean `1.0`. This is not multi-seed paper training or evaluation.
